languages,TAME1-1,TAME1-2,TAME1-2-1,TAME1-3,TAME1-3-1,TAME2-1,TAME2-10,TAME2-11,TAME2-12,TAME2-13,TAME2-14,TAME2-15,TAME2-2,TAME2-3,TAME2-4,TAME2-5,TAME2-6,TAME2-7,TAME2-8,TAME2-9,TAME3-1,TAME3-2,TAME3-3,TAME3-4,TAME3-5,TAME3-6,TAME3-7,TAME3-8,TAME4-1,TAME4-2,TAME4-3,TAME4-4,TAME4-5,TAME4-6,TAME4-7
agua1253,TAME1-1-N,TAME1-2-AFF,TAME1-2-1-1,TAME1-3-AFF,TAME1-3-1-4,TAME2-1-N,TAME2-10-N,TAME2-11-N,TAME2-12-N,TAME2-13-AFF,TAME2-14-N,TAME2-15-AFF,TAME2-2-N,TAME2-3-N,TAME2-4-AFF,TAME2-5-AFF,TAME2-6-AFF,TAME2-7-AFF,TAME2-8-AFF,TAME2-9-AFF,TAME3-1-N,TAME3-2-AFF,TAME3-3-N,TAME3-4-N,TAME3-5-N,TAME3-6-AFF,TAME3-7-N,TAME3-8-N,TAME4-1-N,TAME4-2-N,TAME4-3-N,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
yane1238,TAME1-1-N,TAME1-2-CLI,TAME1-2-1-2,TAME1-3-N,TAME1-3-1-0,TAME2-1-N,TAME2-10-N,TAME2-11-CLI,TAME2-12-CLI,TAME2-13-N,TAME2-14-N,TAME2-15-N,TAME2-2-N,TAME2-3-N,TAME2-4-N,TAME2-5-N,TAME2-6-N,TAME2-7-AFF,TAME2-8-N,TAME2-9-N,TAME3-1-N,TAME3-2-N,TAME3-3-N,TAME3-4-CLI,TAME3-5-CLI,TAME3-6-N,TAME3-7-AFF,TAME3-8-N,TAME4-1-N,TAME4-2-N,TAME4-3-CLI,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
apur1254,TAME1-1-N,TAME1-2-AFF,TAME1-2-1-1,TAME1-3-N,TAME1-3-1-0,TAME2-1-N,TAME2-10-N,TAME2-11-AFF,TAME2-12-N,TAME2-13-AFF,TAME2-14-N,TAME2-15-PAR,TAME2-2-AFF,TAME2-3-N,TAME2-4-PAR,TAME2-5-AFF,TAME2-6-N,,,TAME2-9-N,TAME3-1-AFF,TAME3-2-N,TAME3-3-N,TAME3-4-PAR,TAME3-5-AFF,TAME3-6-N,TAME3-7-N,TAME3-8-AFF,TAME4-1-N,TAME4-2-N,TAME4-3-AFF,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
arhu1242,TAME1-1-N,TAME1-2-AFF,TAME1-2-1-1,TAME1-3-AFF,TAME1-3-1-1,TAME2-1-N,TAME2-10-N,TAME2-11-N,TAME2-12-N,TAME2-13-N,TAME2-14-AFF,TAME2-15-N,TAME2-2-N,TAME2-3-N,TAME2-4-AFF,TAME2-5-AUX,TAME2-6-N,TAME2-7-AUX,TAME2-8-N,TAME2-9-AFF,TAME3-1-N,TAME3-2-N,TAME3-3-N,TAME3-4-N,TAME3-5-AFF,TAME3-6-N,TAME3-7-AFF,TAME3-8-N,TAME4-1-AFF,TAME4-2-PAR,TAME4-3-N,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
mapu1245,TAME1-1-N,TAME1-2-N,TAME1-2-1-0,TAME1-3-PAR,TAME1-3-1-1,TAME2-1-N,TAME2-10-N,TAME2-11-PAR,TAME2-12-PAR,TAME2-13-AFF,TAME2-14-N,TAME2-15-N,TAME2-2-AFF,TAME2-3-N,TAME2-4-AFF,TAME2-5-AFF,TAME2-6-AFF,TAME2-7-AFF,TAME2-8-N,TAME2-9-N,TAME3-1-N,TAME3-2-N,TAME3-3-N,TAME3-4-AFF,TAME3-5-AFF,TAME3-6-N,TAME3-7-N,TAME3-8-N,TAME4-1-N,TAME4-2-AFF,TAME4-3-N,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
karo1305,TAME1-1-N,TAME1-2-PAR,TAME1-2-1-1,TAME1-3-PAR,TAME1-3-1-2,TAME2-1-N,TAME2-10-N,TAME2-11-N,TAME2-12-PAR,TAME2-13-N,TAME2-14-PAR,TAME2-15-N,TAME2-2-N,TAME2-3-AFF,TAME2-4-N,TAME2-5-N,TAME2-6-N,TAME2-7-PAR,TAME2-8-N,TAME2-9-N,TAME3-1-N,TAME3-2-N,TAME3-3-N,TAME3-4-N,TAME3-5-N,TAME3-6-REP,TAME3-7-N,TAME3-8-N,TAME4-1-N,TAME4-2-N,TAME4-3-PAR,TAME4-4-N,TAME4-5-PAR,TAME4-6-PAR,TAME4-7-PAR
cent2142,TAME1-1-AFF,TAME1-2-AFF,TAME1-2-1-1,TAME1-3-AFF,TAME1-3-1-2,TAME2-1-N,TAME2-10-N,TAME2-11-AFF,TAME2-12-N,TAME2-13-N,TAME2-14-N,TAME2-15-AFF,TAME2-2-N,TAME2-3-N,TAME2-4-AFF,TAME2-5-AFF,TAME2-6-AFF,,TAME2-8-AFF,TAME2-9-N,TAME3-1-N,TAME3-2-N,TAME3-3-N,TAME3-4-N,TAME3-5-AFF,TAME3-6-PAR,TAME3-7-AFF,TAME3-8-AFF,TAME4-1-AFF,TAME4-2-AFF,TAME4-3-N,TAME4-4-N,TAME4-5-N,TAME4-6-AFF,TAME4-7-N
bora1263,TAME1-1-N,TAME1-2-AFF,TAME1-2-1-2,TAME1-3-CLI,TAME1-3-1-2,TAME2-1-N,TAME2-10-N,TAME2-11-N,TAME2-12-N,TAME2-13-AFF,TAME2-14-AFF,TAME2-15-N,TAME2-2-N,TAME2-3-AFF,TAME2-4-N,TAME2-5-AFF,TAME2-6-N,TAME2-7-N,,TAME2-9-N,TAME3-1-AFF,TAME3-2-N,TAME3-3-N,TAME3-4-AFF,TAME3-5-N,TAME3-6-N,TAME3-7-AFF,TAME3-8-N,TAME4-1-N,TAME4-2-AFF,TAME4-3-AFF,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
boro1282,TAME1-1-N,TAME1-2-CLI,TAME1-2-1-1,TAME1-3-N,TAME1-3-1-0,TAME2-1-N,TAME2-10-N,TAME2-11-N,TAME2-12-AFF,TAME2-13-N,TAME2-14-N,TAME2-15-CLI,TAME2-2-AFF,TAME2-3-N,TAME2-4-N,TAME2-5-N,TAME2-6-N,TAME2-7-N,,TAME2-9-N,TAME3-1-N,TAME3-2-N,TAME3-3-N,TAME3-4-CLI,TAME3-5-CLI,TAME3-6-REP,TAME3-7-N,TAME3-8-N,TAME4-1-N,TAME4-2-N,TAME4-3-PAR,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
baur1253,TAME1-1-N,TAME1-2-N,TAME1-2-1-0,TAME1-3-N,TAME1-3-1-0,TAME2-1-N,TAME2-10-PAR,TAME2-11-PAR,TAME2-12-N,TAME2-13-N,TAME2-14-N,TAME2-15-N,TAME2-2-AFF,TAME2-3-AFF,TAME2-4-PAR,TAME2-5-N,TAME2-6-N,TAME2-7-N,TAME2-8-N,TAME2-9-AFF,TAME3-1-AFF,TAME3-2-N,TAME3-3-PAR,TAME3-4-N,TAME3-5-PAR,TAME3-6-AFF,TAME3-7-PAR,TAME3-8-N,TAME4-1-N,TAME4-2-N,TAME4-3-CLI,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
mose1249,TAME1-1-N,TAME1-2-CLI,TAME1-2-1-1,TAME1-3-PAR,TAME1-3-1-0,TAME2-1-N,TAME2-10-N,TAME2-11-PAR,TAME2-12-CLI,TAME2-13-CLI,TAME2-14-AFF,TAME2-15-N,TAME2-2-AFF,TAME2-3-N,TAME2-4-N,TAME2-5-AFF,TAME2-6-N,TAME2-7-N,TAME2-8-N,TAME2-9-N,TAME3-1-N,TAME3-2-N,TAME3-3-N,TAME3-4-N,TAME3-5-AFF,TAME3-6-AFF,TAME3-7-CLI,TAME3-8-CLI,TAME4-1-PAR,TAME4-2-N,TAME4-3-PAR,TAME4-4-N,TAME4-5-N,TAME4-6-AFF,TAME4-7-N
cavi1250,TAME1-1-N,TAME1-2-AFF,TAME1-2-1-1,TAME1-3-AFF,TAME1-3-1-2,TAME2-1-N,TAME2-10-AFF,TAME2-11-N,TAME2-12-PAR,TAME2-13-PAR,TAME2-14-CLI,TAME2-15-AFF,TAME2-2-N,TAME2-3-AFF,TAME2-4-AFF,TAME2-5-AFF,TAME2-6-AFF,TAME2-7-N,TAME2-8-PAR,TAME2-9-N,TAME3-1-N,TAME3-2-AFF,TAME3-3-AFF,TAME3-4-N,TAME3-5-N,TAME3-6-REP,TAME3-7-AFF,TAME3-8-AFF,TAME4-1-N,TAME4-2-N,TAME4-3-CLI,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
chim1309,TAME1-1-N,TAME1-2-AFF,TAME1-2-1-1,TAME1-3-N,TAME1-3-1-0,TAME2-1-N,TAME2-10-N,TAME2-11-N,TAME2-12-N,TAME2-13-N,TAME2-14-N,TAME2-15-N,TAME2-2-N,TAME2-3-N,TAME2-4-N,TAME2-5-N,TAME2-6-N,TAME2-7-N,,TAME2-9-N,TAME3-1-AFF,TAME3-2-AFF,TAME3-3-N,TAME3-4-N,TAME3-5-N,TAME3-6-N,TAME3-7-N,TAME3-8-N,TAME4-1-N,TAME4-2-N,TAME4-3-N,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
coca1259,TAME1-1-N,TAME1-2-CLI,TAME1-2-1-2,TAME1-3-CLI,TAME1-3-1-3,TAME2-1-N,TAME2-10-N,TAME2-11-CLI,TAME2-12-CLI,TAME2-13-N,TAME2-14-CLI,TAME2-15-N,TAME2-2-N,TAME2-3-N,TAME2-4-PAR,TAME2-5-PAR,TAME2-6-N,TAME2-7-PAR,TAME2-8-AFF,TAME2-9-N,TAME3-1-N,TAME3-2-N,TAME3-3-N,TAME3-4-N,TAME3-5-AFF,TAME3-6-AFF,TAME3-7-AFF,TAME3-8-N,TAME4-1-N,TAME4-2-N,TAME4-3-CLI,TAME4-4-PAR,TAME4-5-N,TAME4-6-N,TAME4-7-N
colo1256,TAME1-1-N,TAME1-2-N,TAME1-2-1-0,TAME1-3-N,TAME1-3-1-0,TAME2-1-N,TAME2-10-N,TAME2-11-AFF,TAME2-12-AFF,TAME2-13-N,TAME2-14-AFF,TAME2-15-AFF,TAME2-2-AFF,TAME2-3-N,TAME2-4-N,TAME2-5-AFF,TAME2-6-N,TAME2-7-N,TAME2-8-N,TAME2-9-N,TAME3-1-AFF,TAME3-2-AFF,TAME3-3-N,TAME3-4-N,TAME3-5-AFF,TAME3-6-N,TAME3-7-N,TAME3-8-N,TAME4-1-N,TAME4-2-N,TAME4-3-AFF,TAME4-4-N,TAME4-5-N,TAME4-6-AFF,TAME4-7-N
cube1242,TAME1-1-AFF,TAME1-2-AFF,TAME1-2-1-2,TAME1-3-AFF,TAME1-3-1-3,TAME2-1-N,TAME2-10-N,TAME2-11-N,TAME2-12-AFF,TAME2-13-AFF,TAME2-14-N,TAME2-15-AFF,TAME2-2-AFF,TAME2-3-AFF,TAME2-4-N,TAME2-5-N,TAME2-6-N,TAME2-7-N,TAME2-8-N,TAME2-9-N,TAME3-1-N,TAME3-2-N,TAME3-3-N,TAME3-4-AFF,TAME3-5-AFF,TAME3-6-REP,TAME3-7-N,TAME3-8-N,TAME4-1-AFF,TAME4-2-N,TAME4-3-AFF,TAME4-4-N,TAME4-5-N,TAME4-6-AFF,TAME4-7-AFF
desa1247,TAME1-1-AFF,TAME1-2-AFF,TAME1-2-1-0,TAME1-3-AFF,TAME1-3-1-2,TAME2-1-N,TAME2-10-AFF,TAME2-11-N,TAME2-12-AFF,TAME2-13-AFF,TAME2-14-N,TAME2-15-AFF,TAME2-2-N,TAME2-3-N,TAME2-4-AFF,TAME2-5-AFF,TAME2-6-AFF,TAME2-7-N,TAME2-8-N,TAME2-9-N,TAME3-1-AFF,TAME3-2-N,TAME3-3-N,TAME3-4-AFF,TAME3-5-AFF,TAME3-6-N,TAME3-7-AFF,TAME3-8-N,TAME4-1-AFF,TAME4-2-N,TAME4-3-AFF,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-AFF
emer1243,TAME1-1-N,TAME1-2-AFF,TAME1-2-1-1,TAME1-3-CLI,TAME1-3-1-1,TAME2-1-N,TAME2-10-N,TAME2-11-N,TAME2-12-AFF,TAME2-13-N,TAME2-14-AFF,TAME2-15-AFF,TAME2-2-PAR,TAME2-3-AFF,TAME2-4-N,TAME2-5-AFF,TAME2-6-N,TAME2-7-PAR,TAME2-8-N,TAME2-9-N,TAME3-1-N,TAME3-2-N,TAME3-3-N,TAME3-4-N,TAME3-5-AFF,TAME3-6-REP,TAME3-7-AFF,TAME3-8-N,TAME4-1-AFF,TAME4-2-N,TAME4-3-N,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
nort2972,TAME1-1-AFF,TAME1-2-AFF,TAME1-2-1-2,TAME1-3-AFF,TAME1-3-1-2,TAME2-1-N,TAME2-10-N,TAME2-11-N,TAME2-12-N,TAME2-13-N,TAME2-14-AFF,TAME2-15-N,TAME2-2-N,TAME2-3-N,TAME2-4-N,TAME2-5-AFF,TAME2-6-N,TAME2-7-N,,TAME2-9-N,TAME3-1-N,TAME3-2-AFF,TAME3-3-N,TAME3-4-AFF,TAME3-5-N,TAME3-6-N,TAME3-7-AFF,TAME3-8-N,TAME4-1-N,TAME4-2-N,TAME4-3-AFF,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
hixk1239,TAME1-1-AFF,TAME1-2-AFF,TAME1-2-1-1,TAME1-3-AFF,TAME1-3-1-3,TAME2-1-N,TAME2-10-N,TAME2-11-PAR,TAME2-12-AFF,TAME2-13-PAR,TAME2-14-AFF,TAME2-15-AFF,TAME2-2-N,TAME2-3-N,TAME2-4-AFF,TAME2-5-AFF,TAME2-6-N,TAME2-7-N,,TAME2-9-N,TAME3-1-AFF,TAME3-2-AFF,TAME3-3-N,TAME3-4-N,TAME3-5-N,TAME3-6-N,TAME3-7-AFF,TAME3-8-N,TAME4-1-N,TAME4-2-N,TAME4-3-PAR,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
iton1250,TAME1-1-N,TAME1-2-AUX,TAME1-2-1-1,TAME1-3-N,TAME1-3-1-0,TAME2-1-N,TAME2-10-N,TAME2-11-N,TAME2-12-N,TAME2-13-N,TAME2-14-N,TAME2-15-N,TAME2-2-N,TAME2-3-AFF,TAME2-4-N,TAME2-5-N,TAME2-6-N,TAME2-7-N,,TAME2-9-AFF,TAME3-1-N,TAME3-2-N,TAME3-3-N,TAME3-4-N,TAME3-5-AFF,TAME3-6-AFF,TAME3-7-N,TAME3-8-N,TAME4-1-N,TAME4-2-N,TAME4-3-AFF,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
jama1261,TAME1-1-N,TAME1-2-AFF,TAME1-2-1-1,TAME1-3-AFF,TAME1-3-1-3,TAME2-1-N,TAME2-10-N,TAME2-11-N,TAME2-12-N,TAME2-13-AFF,TAME2-14-N,TAME2-15-AFF,TAME2-2-AFF,TAME2-3-N,TAME2-4-N,TAME2-5-AFF,TAME2-6-N,TAME2-7-AFF,TAME2-8-N,TAME2-9-AFF,TAME3-1-N,TAME3-2-N,TAME3-3-N,TAME3-4-AFF,TAME3-5-AFF,TAME3-6-AFF,TAME3-7-N,TAME3-8-N,TAME4-1-AFF,TAME4-2-AFF,TAME4-3-AFF,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
shua1257,TAME1-1-N,TAME1-2-AFF,TAME1-2-1-2,TAME1-3-AFF,TAME1-3-1-4,,TAME2-10-AFF,TAME2-11-AFF,TAME2-12-AFF,TAME2-13-AFF,TAME2-14-AFF,TAME2-15-AFF,,TAME2-3-AFF,TAME2-4-AFF,TAME2-5-AFF,TAME2-6-AFF,TAME2-7-AFF,TAME2-8-N,TAME2-9-AFF,TAME3-1-AFF,,TAME3-3-N,TAME3-4-AFF,TAME3-5-AFF,TAME3-6-AFF,TAME3-7-AFF,TAME3-8-N,TAME4-1-AFF,,,TAME4-4-PAR,TAME4-5-N,,TAME4-7-N
hupd1244,TAME1-1-N,TAME1-2-AFF,TAME1-2-1-2,TAME1-3-PAR,TAME1-3-1-2,TAME2-1-N,TAME2-10-N,TAME2-11-N,TAME2-12-PAR,TAME2-13-AFF,TAME2-14-N,TAME2-15-AUX,TAME2-2-N,TAME2-3-N,TAME2-4-N,TAME2-5-AFF,TAME2-6-AFF,TAME2-7-N,TAME2-8-N,TAME2-9-N,TAME3-1-AFF,TAME3-2-N,TAME3-3-N,TAME3-4-PAR,TAME3-5-N,TAME3-6-REP,TAME3-7-AFF,TAME3-8-PAR,TAME4-1-CLI,TAME4-2-N,TAME4-3-CLI,TAME4-4-N,TAME4-5-N,TAME4-6-AFF,TAME4-7-N
kama1373,TAME1-1-N,TAME1-2-PAR,TAME1-2-1-1,TAME1-3-N,TAME1-3-1-0,TAME2-1-N,TAME2-10-PAR,TAME2-11-N,TAME2-12-PAR,TAME2-13-PAR,TAME2-14-N,TAME2-15-AFF,TAME2-2-PAR,TAME2-3-N,TAME2-4-CLI,TAME2-5-N,TAME2-6-N,TAME2-7-AFF,TAME2-8-N,TAME2-9-N,TAME3-1-N,TAME3-2-N,TAME3-3-N,TAME3-4-N,TAME3-5-N,TAME3-6-REP,TAME3-7-AFF,TAME3-8-N,TAME4-1-N,TAME4-2-N,TAME4-3-PAR,TAME4-4-N,TAME4-5-PAR,TAME4-6-N,TAME4-7-N
kain1272,TAME1-1-N,TAME1-2-AFF,TAME1-2-1-1,TAME1-3-N,TAME1-3-1-0,TAME2-1-N,TAME2-10-N,TAME2-11-N,TAME2-12-PAR,TAME2-13-N,TAME2-14-N,TAME2-15-N,TAME2-2-N,,,TAME2-5-PAR,,,,TAME2-9-N,TAME3-1-PAR,TAME3-2-PAR,TAME3-3-N,TAME3-4-PAR,TAME3-5-N,TAME3-6-N,TAME3-7-N,TAME3-8-N,TAME4-1-N,TAME4-2-N,TAME4-3-PAR,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
kari1311,TAME1-1-AFF,TAME1-2-AFF,TAME1-2-1-1,TAME1-3-AFF,TAME1-3-1-1,TAME2-1-N,TAME2-10-N,TAME2-11-N,TAME2-12-N,TAME2-13-N,TAME2-14-N,TAME2-15-AFF,TAME2-2-AFF,TAME2-3-N,TAME2-4-N,TAME2-5-AFF,TAME2-6-N,TAME2-7-N,TAME2-8-N,TAME2-9-N,TAME3-1-N,TAME3-2-N,TAME3-3-N,TAME3-4-N,TAME3-5-AFF,TAME3-6-N,TAME3-7-N,TAME3-8-N,TAME4-1-N,TAME4-2-N,TAME4-3-AFF,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
daww1239,TAME1-1-N,TAME1-2-AFF,TAME1-2-1-2,TAME1-3-AFF,TAME1-3-1-1,TAME2-1-N,TAME2-10-N,TAME2-11-AFF,TAME2-12-N,TAME2-13-AUX,TAME2-14-N,TAME2-15-PAR,TAME2-2-N,TAME2-3-N,TAME2-4-N,TAME2-5-AFF,TAME2-6-N,TAME2-7-AFF,,TAME2-9-N,TAME3-1-AUX,TAME3-2-N,TAME3-3-N,TAME3-4-AUX,TAME3-5-AUX,TAME3-6-N,TAME3-7-AUX,TAME3-8-AUX,TAME4-1-N,TAME4-2-N,TAME4-3-PAR,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
awac1239,TAME1-1-N,TAME1-2-AFF,TAME1-2-1-1,TAME1-3-AFF,TAME1-3-1-0,TAME2-1-N,TAME2-10-AFF,TAME2-11-N,TAME2-12-N,TAME2-13-N,TAME2-14-AFF,TAME2-15-AFF,TAME2-2-PAR,TAME2-3-N,TAME2-4-N,TAME2-5-AFF,TAME2-6-N,TAME2-7-AFF,TAME2-8-AFF,TAME2-9-N,TAME3-1-N,TAME3-2-AFF,TAME3-3-N,TAME3-4-N,TAME3-5-N,TAME3-6-N,TAME3-7-AFF,TAME3-8-N,TAME4-1-N,TAME4-2-N,TAME4-3-N,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
kano1245,TAME1-1-N,TAME1-2-AFF,TAME1-2-1-1,TAME1-3-PAR,TAME1-3-1-1,TAME2-1-N,TAME2-10-N,TAME2-11-N,TAME2-12-N,TAME2-13-N,TAME2-14-N,TAME2-15-AFF,TAME2-2-N,TAME2-3-N,TAME2-4-N,TAME2-5-AFF,TAME2-6-N,TAME2-7-N,,TAME2-9-N,TAME3-1-N,TAME3-2-REP,TAME3-3-N,TAME3-4-N,TAME3-5-N,TAME3-6-N,TAME3-7-N,TAME3-8-N,TAME4-1-N,TAME4-2-N,TAME4-3-N,TAME4-4-N,TAME4-5-N,TAME4-6-N,TAME4-7-N
